Date,Closing,Opening,High,Low,Volume,Diff %
20.02.2022,2619.32,2763.97,2764.46,2577.52,508490.00,-5.23000
19.02.2022,2763.81,2779.44,2829.2,2699.7,377080.00,-0.57000
18.02.2022,2779.56,2893.78,2943.14,2754.15,623190.00,-3.96000
17.02.2022,2894.03,3122.33,3159.83,2855.66,661980.00,-7.21000
16.02.2022,3118.9,3182.32,3184.88,3045.92,416700.00,-1.99000
15.02.2022,3182.27,2929.29,3193.18,2912.61,540040.00,8.64000
14.02.2022,2929.31,2871.06,2963.7,2834.13,477240.00,2.06000
13.02.2022,2870.25,2917.16,2952.94,2838.29,303120.00,-1.61000
12.02.2022,2917.1,2927.64,2984.72,2858.85,433290.00,-0.36000
11.02.2022,2927.63,3071.8,3136.33,2880.6,607930.00,-4.69000
10.02.2022,3071.83,3243.73,3277.36,3058.59,742540.00,-5.3000
09.02.2022,3243.62,3115.91,3266.41,3055.95,477820.00,4.1000
08.02.2022,3115.88,3139.65,3228.86,3029.7,664450.00,-0.77000
07.02.2022,3140.18,3056.29,3185.77,2995.59,568420.00,2.75000
06.02.2022,3056.2,3013.75,3073.23,2957.16,316580.00,1.41000
05.02.2022,3013.81,2994.74,3058.88,2963.11,473620.00,0.63000
04.02.2022,2994.99,2692.8,2994.99,2671.72,908750.00,11.22000
03.02.2022,2692.8,2680.66,2723.97,2579.8,549270.00,0.44000
02.02.2022,2681,2787.16,2809.57,2618.07,602400.00,-3.81000
01.02.2022,2787.16,2686.82,2808.6,2676.32,521740.00,3.73000
31.01.2022,2686.82,2602.71,2704.64,2478.85,601730.00,3.23000
30.01.2022,2602.77,2600.12,2636.04,2543.99,381840.00,0.11000
29.01.2022,2600.02,2545.95,2632.51,2520.14,484180.00,2.12000
28.01.2022,2545.95,2424.66,2556.34,2362.53,634500.00,5
27.01.2022,2424.66,2462.25,2515.19,2317.3,774540.00,-1.49000
26.01.2022,2461.41,2458.07,2719.32,2405.66,1050000.00,0.14000
25.01.2022,2458.07,2441.01,2504.32,2352.36,656030.00,0.7000
24.01.2022,2441.01,2540.81,2540.81,2161.55,1560000.00,-3.93000
23.01.2022,2540.81,2412.52,2547.19,2373.85,766830.00,5.32000
22.01.2022,2412.52,2570.67,2621.21,2311.8,1480000.00,-6.17000
21.01.2022,2571.29,3000.21,3032.69,2471.8,1420000.00,-14.43000
20.01.2022,3004.72,3084.48,3270.71,2989.19,481080.00,-2.56000
19.01.2022,3083.65,3160.15,3173.63,3049.3,459810.00,-2.42000
18.01.2022,3160.15,3209.43,3242.47,3084.48,399190.00,-1.53000
17.01.2022,3209.35,3346.63,3356.45,3142.4,375280.00,-4.1000
16.01.2022,3346.59,3326.5,3388.22,3276.44,295680.00,0.57000
15.01.2022,3327.74,3307.84,3369.95,3265.41,292100.00,0.6000
14.01.2022,3307.9,3241.95,3341.24,3195.65,415180.00,2.16000
13.01.2022,3238.03,3370.87,3407.98,3234.97,462810.00,-3.94000
12.01.2022,3370.89,3238.22,3406.79,3208,530960.00,4.11000
11.01.2022,3237.89,3084.64,3262.78,3053.4,505210.00,4.94000
10.01.2022,3085.43,3150.27,3179.96,2931.68,804380.00,-2.06000
09.01.2022,3150.3,3079.89,3210.34,3060.47,415870.00,2.28000
08.01.2022,3080.02,3198.14,3244.46,3001.76,566060.00,-3.61000
07.01.2022,3195.31,3407.22,3413.26,3077.3,979250.00,-6.23000
06.01.2022,3407.77,3536.15,3550.19,3306.14,701890.00,-3.62000
05.01.2022,3535.86,3784.47,3846.44,3418.46,582710.00,-6.69000
04.01.2022,3789.52,3764.62,3889.07,3715.24,415810.00,0.67000
03.01.2022,3764.24,3830.7,3849.5,3682.48,338510.00,-1.73000
02.01.2022,3830.67,3765.67,3851.16,3718.33,242550.00,1.73000
01.01.2022,3765.67,3677.69,3775.2,3675.75,239540.00,2.39000
31.12.2021,3677.85,3709.38,3812.01,3623.74,405650.00,-0.85000
30.12.2021,3709.57,3629.33,3767.93,3589.64,355720.00,2.25000
29.12.2021,3627.93,3792.95,3825.97,3607.2,456030.00,-4.32000
28.12.2021,3791.69,4036.86,4036.86,3760.86,527230.00,-6.06000
27.12.2021,4036.24,4062.02,4125.22,4033.04,313320.00,-0.62000
